Programa Bolsa Família (PBF) - número de benefícios em dezembro
Sigla;Código;Estado;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
AC;12;Acre;38908;53404;57354;55037;62600;59779;56272;70769;78050;78724;80987;82795;86360;90534;87465;90737;89118;130972;130010;
AL;27;Alagoas;253745;339921;351402;347585;395459;414112;425137;436270;438656;440833;420515;396054;407872;413983;389492;406800;406358;539917;538620;
AM;13;Amazonas;147266;204075;216487;222542;263064;278893;307285;332516;358836;359360;363223;370487;388757;409529;388546;410417;399388;611433;647046;
AP;16;Amapá;11429;26244;38505;39191;44678;44096;50832;53417;53608;55702;60880;62371;70029;77227;75598;76700;74358;121742;118255;
BA;29;Bahia;1067291;1391245;1411662;1372763;1581639;1662069;1752993;1808346;1800055;1816280;1804043;1772853;1843633;1858143;1757931;1839526;1824391;2558556;2461624;
CE;23;Ceará;742454;882220;891418;870153;947720;1022259;1076764;1107009;1095316;1093749;1079367;1042087;1048606;1071704;1020141;1085049;1076609;1485317;1477727;
DF;53;Distrito Federal;54159;85725;78294;76414;76327;98552;77591;99950;93272;87246;94005;87255;79740;73888;67405;83939;88132;162811;192557;
ES;32;Espírito Santo;160836;191421;187927;171419;190428;189983;192365;201274;201671;190800;195077;180737;169460;181139;168839;196264;196064;301751;305808;
GO;52;Goiás;186866;259524;260368;245268;305949;326084;333567;348375;340341;338284;324839;306444;310483;310220;278556;305149;301567;489303;510736;
MA;21;Maranhão;532126;706878;737539;729610;846345;871297;920048;951611;962011;987479;955584;951942;987510;987370;933326;961854;951591;1168924;1181927;
MG;31;Minas Gerais;998011;1128261;1080823;992739;1117946;1135715;1159172;1197240;1177574;1148368;1123689;1061912;1063815;1057280;976127;1075746;1089140;1607780;1607182;
MS;50;Mato Grosso do Sul;85098;114876;112212;102433;127768;132887;134447;142249;146539;145548;142855;130877;126694;130336;114659;130468;127877;204751;211122;
MT;51;Mato Grosso;118663;136495;132798;121703;166456;167693;171905;184686;187262;186808;180186;163610;162284;162977;143362;161686;160874;252351;257587;
PA;15;Pará;337694;506444;532755;528997;635204;680804;772311;813367;856932;890050;892249;894412;935715;969576;930274;965697;945011;1293671;1318196;
PB;25;Paraíba;337001;406904;416863;410707;444729;450525;487779;506234;510357;526690;509956;507358;517658;526330;505183;519754;512298;691850;677301;
PE;26;Pernambuco;633500;860546;905919;881591;1035989;1045268;1115851;1151313;1125465;1154573;1119926;1074458;1159969;1182344;1131619;1176110;1165571;1687528;1620778;
PI;22;Piauí;284297;366906;368612;360622;413867;420392;444696;455182;472620;458001;444530;456851;448529;456409;439580;453550;450307;622879;604307;
PR;41;Paraná;447186;452172;410885;367247;482335;466607;444050;449794;429942;408435;401177;371108;371384;380141;336822;382870;387066;588266;609139;
RJ;33;Rio de Janeiro;302733;441667;494051;498378;658726;685301;734902;789827;841885;831269;851094;793134;818624;878936;824797;940502;936893;1840978;1734635;
RN;24;Rio Grande do Norte;240828;298643;302720;292522;321710;338424;349595;364751;372825;364064;357440;355591;346683;358286;340600;363562;360216;511503;505819;
RO;11;Rondônia;68343;94953;97270;92914;116211;114112;112950;117806;113726;114524;106013;90285;83630;81938;71422;81853;80109;122041;124362;
RR;14;Roraima;17583;31850;32344;33622;41201;42213;45575;47303;49384;48396;46938;49015;43725;48208;44428;52280;48896;62870;72960;
RS;43;Rio Grande do Sul;398132;436169;410540;367631;462966;453761;450778;463519;456962;435911;429063;380846;365614;369036;327574;378103;381463;603434;617680;
SC;42;Santa Catarina;141744;139098;134704;118648;150685;143700;140774;147043;143833;138496;132098;121999;120522;122943;107103;129436;133034;216749;228676;
SE;28;Sergipe;154332;189304;187470;179875;220175;230418;253134;268330;256838;281775;270087;253052;279622;293106;280673;286867;281094;403255;386408;
SP;35;São Paulo;863799;1114328;1085233;974803;1138129;1174844;1209819;1254284;1377082;1333129;1457650;1477705;1542425;1581737;1386845;1600229;1599678;2539853;2585412;
TO;17;Tocantins;76421;106537;106921;103582;122609;128432;131714;139690;139251;139749;137020;128530;126005;121906;110090;118870;117837;154667;158132;
